LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00110787 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1300   -951.04357            0   -914.74732   -116958.82    5330.9442 
    3200    1302.3657   -958.96652            0   -922.60422    10646.963     4512.018 
Loop time of 2.34729 on 1 procs for 3200 steps with 217 atoms

Performance: 353.361 ns/day, 0.068 hours/ns, 1363.276 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2933     | 2.2933     | 2.2933     |   0.0 | 97.70
Neigh   | 0.0059555  | 0.0059555  | 0.0059555  |   0.0 |  0.25
Comm    | 0.013811   | 0.013811   | 0.013811   |   0.0 |  0.59
Output  | 2.5485e-05 | 2.5485e-05 | 2.5485e-05 |   0.0 |  0.00
Modify  | 0.029348   | 0.029348   | 0.029348   |   0.0 |  1.25
Other   |            | 0.004883   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4144 ave 4144 max 4144 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8288 ave 8288 max 8288 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8288
Ave neighs/atom = 38.1935
Neighbor list builds = 10
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.666 | 9.666 | 9.666 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -958.96652    36.362299   -922.60422    1302.3657    10646.963    2.2352101            0 9.8279492e-32 
   11900   -958.35716    34.938186   -923.41898    1251.3591    3033.5419    2.2182662  0.080122751  0.089772591 
   12000   -959.53717     38.96428   -920.57289    1395.5592    4466.1216    2.2169257   0.26477462   0.07742313 
   12100   -958.77381    37.330151   -921.44366    1337.0306    468.88124    2.2077002   0.21279981  0.083175965 
   12200    -960.0454     31.94665   -928.09875    1144.2131    -2069.113    2.2087439   0.11603867  0.096012531 
   12300   -957.43674    35.484065   -921.95267    1270.9105   -6789.3083    2.1919587  0.074332485  0.087852393 
   12400   -954.94747    34.372678   -920.57479    1231.1047    399.73124    2.2003593  0.043079661  0.088933026 
   12500   -962.40246    37.155435   -925.24702    1330.7729    2692.8984     2.222951  0.062260674  0.089392207 
   12600    -960.2505     34.69739   -925.55311    1242.7347    6421.3935    2.2283737   0.15377491    0.0971393 
   12700   -955.59224    35.367241   -920.22499    1266.7263     2727.844    2.2064208   0.13892591  0.094836087 
   12800   -958.75775     36.47223   -922.28552     1306.303   -7731.7286    2.1898472  0.081364485   0.08968152 
   12900   -956.77162    30.029884   -926.74173    1075.5615    -5957.286    2.1921928   0.22216823  0.096931319 
   13000   -959.12095    36.217124   -922.90382     1297.166   -1209.1995    2.2067732  0.055794204  0.095090255 
   13100   -956.42027    36.279514   -920.14076    1299.4006    10084.487      2.22865   0.05873478  0.086160558 
   13200   -958.85581    37.255208    -921.6006    1334.3464    7714.9582    2.2266533   0.24167014  0.078663492 
   13300   -959.96481    34.934173   -925.03064    1251.2154   -2856.6632    2.2045724  0.010505775  0.075685163 
   13400   -960.91555    30.696563   -930.21898    1099.4395   -7419.2235    2.1967463   0.12139099  0.082722788 
   13500   -957.14499    34.413556   -922.73143    1232.5688   -6741.6834    2.1886849   0.27162083    0.1016858 
   13600   -959.86538     38.25955   -921.60583    1370.3183    -941.6018    2.2067371  0.088067586  0.080494014 
   13700   -958.77645    38.008804   -920.76765    1361.3375    3904.5289     2.215975  0.098094287   0.08238274 
   13800   -955.88653    36.937054   -918.94948    1322.9513    4529.5492    2.2098528  0.061088011  0.082156546 
   13900   -953.91962    41.044819    -912.8748    1470.0766   -4897.3225    2.1814865   0.14527174  0.099775581 
   14000   -956.89891    37.577025   -919.32188    1345.8728   -4057.0276    2.1912615   0.12221885  0.088003153 
   14100   -958.12995    36.394601   -921.73535    1303.5226   -548.47797    2.2053422   0.21822984  0.088329117 
   14200   -958.38282    35.774793   -922.60802    1281.3234    3699.7553    2.2172987  0.061905577  0.085136225 
   14300   -954.37007    39.717873    -914.6522    1422.5502    3282.0421    2.2033571  0.042866941  0.084640597 
   14400    -957.8896    38.888415   -919.00119     1392.842    1362.4536    2.2069672   0.12208889  0.084373557 
   14500   -960.52997    38.170596   -922.35937    1367.1323   -3464.2237    2.2006514   0.10089098  0.078428092 
   14600   -955.72182    34.393638   -921.32818    1231.8554   -3251.7263    2.1919228  0.027474456  0.083397022 
   14700   -954.72004    39.966792   -914.75325    1431.4656    -5426.953    2.1824243  0.092922937  0.082927032 
   14800   -960.81241    38.576329   -922.23608    1381.6642    3388.8682    2.2190852   0.10644545  0.085066436 
   14900   -956.10366    34.635888   -921.46777    1240.5319    14005.653    2.2359758   0.27385208  0.089100484 
   15000   -955.83634     38.43064    -917.4057    1376.4461    8383.2279    2.2178851    0.1907532  0.081045007 
   15100   -955.82418    36.913797   -918.91038    1322.1183   -8071.0997     2.178369  0.029574729   0.09049643 
   15200   -956.47187    32.970839   -923.50103    1180.8959    -13631.81    2.1690929   0.21352071  0.089762533 
   15300   -954.53199     33.92853   -920.60346    1215.1969    -2098.544    2.1922266   0.18645383   0.10237882 
   15400    -958.7612    41.238646   -917.52256    1477.0187    3323.1149    2.2145495   0.26053726  0.087413315 
   15500   -959.18936    33.903529   -925.28583    1214.3014    8835.4903    2.2311543  0.084402618  0.071127425 
   15600   -960.22416    36.736698   -923.48747    1315.7753   -889.57699     2.205622   0.08392509  0.073983936 
   15700   -955.35183     34.89831   -920.45352    1249.9309   -5184.5564    2.1894775   0.16417723  0.094556702 
   15800    -954.2712    33.795236   -920.47596    1210.4228    -2816.625    2.1902088   0.10318877  0.086750018 
   15900   -959.28347    32.235896   -927.04757    1154.5729    3743.9425    2.2183494   0.14921223  0.082742801 
   16000   -958.35485    37.298154   -921.05669    1335.8846    6659.2402    2.2204192  0.018045832  0.085389063 
   16100   -958.94664    38.442081   -920.50455    1376.8559    2260.5759    2.2121434   0.25251763   0.08377376 
   16200   -960.84586    34.248042   -926.59782    1226.6407   -2489.2363    2.2068956    0.2186144   0.09018212 
   16300   -957.89082    35.382471   -922.50835    1267.2718   -6113.7271    2.1896979   0.18702149   0.08650177 
   16400   -955.13085    34.969053    -920.1618    1252.4646   -971.21014    2.1988436   0.12911105  0.089218047 
   16500   -958.02454    35.120778   -922.90376    1257.8989    4600.4907    2.2184652   0.24859355  0.087247049 
   16600    -960.2587     33.95273   -926.30597    1216.0637    8380.8355    2.2341277   0.25838472  0.089943896 
   16700   -954.55056    36.507671   -918.04289    1307.5724     1039.991    2.2014995  0.080160267  0.090331064 
   16800   -958.66113    38.040118   -920.62101    1362.4591   -9876.8406    2.1832627  0.041762532  0.085450515 
   16900   -957.81161    34.353686   -923.45793    1230.4245   -10459.179    2.1805523  0.022567742  0.094520209 
   17000   -959.15003    38.351285   -920.79874    1373.6039    623.37427    2.2097772    0.1983985  0.077893284 
   17100   -954.69451    38.365996   -916.32851    1374.1309    17991.088    2.2394475   0.33725589  0.085215578 
   17200   -956.97675    35.835139   -921.14161    1283.4847     9364.723    2.2301189   0.29914642  0.085381593 
   17300   -957.04223    33.991631    -923.0506     1217.457   -4310.1962    2.1961604    0.0884355  0.090143537 
   17400   -955.79168     40.27679   -915.51489    1442.5686   -10135.445    2.1747176   0.29003475  0.089387243 
   17500      -955.23    35.150158   -920.07984    1258.9512   -1948.8228    2.1956531   0.23786972  0.092407984 
   17600    -959.9075    37.602228   -922.30527    1346.7755    2088.9306    2.2144421   0.20921703  0.085995348 
   17700   -957.57376    37.804336   -919.76942    1354.0142    4952.4183     2.217002  0.059774458  0.086088327 
   17800    -954.1567     39.69885   -914.45785    1421.8688   -139.77959    2.2001093  0.044342132   0.10098824 
   17900   -955.99271    33.430404   -922.56231    1197.3558   -113.37625    2.2058205   0.19032284  0.094284951 
   18000   -960.47081     38.45301    -922.0178    1377.2474   -5857.9808    2.1971479   0.14669282  0.097335195 
   18100   -958.09229     38.46236   -919.62993    1377.5823   -4033.1684     2.195998  0.015436961  0.090979361 
   18200   -952.69943    35.599045   -917.10038    1275.0287    3760.6536    2.2027193   0.30147423  0.087148495 
   18300    -961.5853    36.260683   -925.32461    1298.7262     4704.325    2.2240828  0.077346531  0.080975913 
   18400   -961.28909    37.323742   -923.96535    1336.8011   -2746.2964    2.2065006   0.13069616  0.078434041 
   18500   -957.08071    35.072683   -922.00802    1256.1763   -8258.1175    2.1848199   0.18626854  0.093818765 
   18600   -956.82926    36.406518   -920.42274    1303.9494   -7633.8841    2.1823547  0.086932843  0.078973481 
   18700   -961.76296    35.238064    -926.5249    1262.0997     31.43817    2.2167638   0.12981294  0.083878582 
   18800   -961.12658    36.277991   -924.84859    1299.3461    12043.004    2.2407642    0.1410205  0.082908123 
   18900   -956.90091    36.599843   -920.30107    1310.8736    11006.036    2.2306947   0.17534579  0.090323564 
   19000   -958.57843    36.974133    -921.6043    1324.2794   -3041.8557    2.1994773   0.16183572  0.096751025 
   19100   -960.74317    32.840185   -927.90298    1176.2163   -11394.304    2.1849582   0.12486968  0.081695756 
   19200   -956.20081    34.003641   -922.19717    1217.8871   -7504.5116    2.1829351   0.06804186   0.10014313 
   19300   -957.77891    37.407788   -920.37112    1339.8113    1538.1617    2.2061662   0.37138486   0.09558902 
   19400   -960.31155    36.707113   -923.60444    1314.7157    6333.2898    2.2233865  0.090978303  0.081295888 
