   13600   -947.22472    42.010482   -905.21423    1504.6631    9745.1347    2.2052351    5.6274739   0.16207794 
   13700   -950.06998    38.134916   -911.93506    1365.8544    8875.6732     2.211809    5.5192212   0.15881355 
   13800   -951.09888    38.464509   -912.63437    1377.6592   -7890.1411    2.1725236    4.3246112   0.17342608 
   13900    -946.7549    39.057787   -907.69711    1398.9083   -6249.1725    2.1675079    4.7446512   0.18871869 
   14000   -953.31343    43.636839   -909.67659    1562.9133    4722.7577    2.2063552    4.5967935    0.1820789 
   14100   -956.44512    41.831815   -914.61331    1498.2639    8105.5761    2.2236271    4.0946599   0.16250679 
   14200   -945.33288    38.677197   -906.65568    1385.2769   -1190.1764    2.1755694    4.9976065   0.17299272 
   14300    -949.1441    39.939323   -909.20478    1430.4817   -6424.4772     2.168669    5.6585189    0.1714831 
   14400   -952.84286    38.926923   -913.91594    1394.2212    490.38818    2.1982584    6.1800462   0.16002759 
   14500    -949.2139    43.720534   -905.49337     1565.911    4864.1073    2.1964921    6.0812197   0.15930286 
   14600   -948.89426    41.433295   -907.46097    1483.9904    3160.2943    2.1937557    5.5125862   0.16244368 
   14700    -951.7183    39.480004    -912.2383    1414.0306   -3664.4221    2.1829343    4.8391968   0.15824079 
   14800   -949.13036    43.089399   -906.04096     1543.306   -1573.0478    2.1792234     4.518598   0.17586616 
   14900   -946.79609    41.311995   -905.48409    1479.6458    3215.3217    2.1881243    4.8691755   0.17543002 
   15000   -950.01107    38.685669    -911.3254    1385.5804    2665.1555    2.1946494    4.5811968     0.163793 
   15100   -949.98304    42.643153   -907.33989    1527.3231   -310.89168    2.1845159    4.2177808    0.1676314 
   15200   -948.82134    44.306752   -904.51459    1586.9072   -3668.1667    2.1752196    3.9502764   0.16796789 
   15300   -951.46802    39.413091   -912.05492     1411.634    1912.2418    2.1965189    4.8298377   0.17746718 
   15400   -953.72152    45.737808   -907.98371    1638.1624    233.13011    2.1963256    5.5540716    0.1543026 
   15500   -950.26701    45.202541   -905.06447    1618.9911    -1269.316    2.1839882    3.8824809   0.16246186 
   15600   -952.81947    39.079853   -913.73961    1399.6986    266.11852     2.194467    4.2050783   0.16518607 
   15700   -951.65488    42.512151   -909.14273    1522.6311     -1962.33    2.1861283     5.655125     0.168616 
   15800    -948.3359     42.29631   -906.03959    1514.9004    3141.4282    2.1869246    5.4504203   0.17981295 
   15900   -957.37984    42.842254   -914.53759    1534.4542     1272.932    2.2059297      4.37459   0.15775117 
   16000   -951.60915    42.096386   -909.51276    1507.7399   -3642.4741    2.1782466    5.5795463   0.16743201 
   16100   -950.22042    42.776649   -907.44377    1532.1044   -5397.7862     2.172363    5.3779671   0.17221337 
   16200   -951.09852    37.800671   -913.29785    1353.8829    4864.4899    2.2048339    6.2815789   0.16200532 
   16300   -950.00208    38.804569   -911.19751    1389.8389    10419.765    2.2128035    4.9484024   0.17249905 
   16400   -949.74959    43.293122   -906.45646    1550.6026   -2791.3791     2.179044    5.7900392   0.16193112 
   16500   -949.62595    37.945854   -911.68009    1359.0829   -7984.5423    2.1682134    5.3933295   0.15804483 
   16600   -950.79984    40.046076   -910.75377    1434.3052    1393.9765    2.1929168    4.5283607   0.17487281 
   16700   -951.12822    47.402038   -903.72618    1697.7691    6680.3245     2.203686    4.3153964   0.17929488 
   16800   -953.09474    43.206423   -909.88832    1547.4974   -1361.0301    2.1907877    4.0957034   0.17942866 
   16900   -951.04317    39.555693   -911.48747    1416.7415   -7810.8205    2.1710086    3.6395659   0.17792472 
   17000   -949.91256    46.871072   -903.04149    1678.7518   -5066.1882    2.1715167    5.2221231   0.17446593 
   17100   -952.44288    43.353424   -909.08946    1552.7624    8251.7145    2.2130435    5.3941198   0.16377797 
   17200   -949.17074    38.320409   -910.85033    1372.4981    5051.3372    2.2014607    5.5476068   0.16085871 
   17300     -949.734    44.148066   -905.58593    1581.2236   -9569.8003    2.1639587    5.7963518   0.15693941 
   17400   -950.12683    44.095726   -906.03111     1579.349   -6716.9991    2.1709436    4.2653107   0.16484577 
   17500   -950.94967    39.493992   -911.45568    1414.5316    8933.8676    2.2128468    6.0637475   0.15179147 
   17600   -951.41933    44.609172   -906.81015    1597.7388    6141.3487    2.2061479    4.7274751   0.15994588 
   17700    -949.5453     42.29635   -907.24895    1514.9019   -6070.3576    2.1746358    4.7941311   0.17732741 
   17800   -953.77405    39.280743   -914.49331    1406.8938    -3795.495    2.1869526    5.4159921   0.17182371 
   17900   -949.41365    41.296619   -908.11703    1479.0951    2629.7156    2.1931901    4.4194789   0.17996195 
   18000   -948.78635    41.274001   -907.51234     1478.285    4338.1442    2.1949692    5.0810158   0.17372893 
   18100   -953.37117    38.147387   -915.22378    1366.3011    1160.1359    2.1986353    5.5880923   0.16698857 
   18200   -948.09338    39.934759   -908.15862    1430.3182   -2314.5655    2.1768918    5.9688876   0.15829106 
   18300   -946.11095    38.507243   -907.60371    1379.1898    2160.5711    2.1840518    4.9594634    0.1501251 
   18400   -952.32071    38.447136   -913.87357     1377.037    3560.7811    2.2002905    5.2148527   0.14822756 
   18500   -951.09974    43.320822   -907.77892    1551.5947   -134.98266    2.1847535    4.8829394   0.14851512 
   18600   -948.55693    41.665951   -906.89098    1492.3232    166.86043    2.1812563    6.1715445   0.15112351 
   18700   -953.77647    41.598652   -912.17782    1489.9128   -1788.1349    2.1873305    6.2561707   0.16085166 
   18800   -948.79724     40.43301   -908.36423    1448.1638    2830.5794    2.1908006    5.9395992   0.15829101 
   18900   -947.79502    42.860921    -904.9341    1535.1228    2789.9327    2.1890165    5.2157875    0.1750137 
   19000     -952.555    41.360181   -911.19482    1481.3717   -3591.4577    2.1807356    5.9609319   0.17285087 
   19100   -952.13947    43.040812   -909.09866    1541.5658   -7209.8886    2.1740695    5.4298121   0.16520429 
   19200   -950.71596    47.679673   -903.03629     1707.713    1787.2534    2.1894624    5.2740658   0.17198536 
   19300   -952.56772    42.431757   -910.13597    1519.7517    9281.4105    2.2146887    5.4710327   0.14755047 
   19400   -953.24605    43.079839   -910.16621    1542.9636   -1442.2085    2.1846481    5.0628154   0.13560018 
   19500   -946.38827    42.639622   -903.74865    1527.1966   -11952.887    2.1507311    4.9330495   0.15876606 
   19600     -951.753    39.153497    -912.5995    1402.3363    980.39461     2.194504       4.2842   0.14539503 
   19700   -955.62644    45.503152   -910.12329    1629.7579    6263.5098    2.2131793    4.9703571   0.14071948 
   19800   -948.23918    42.108902   -906.13028    1508.1881    2914.4241    2.1866513    5.2605805   0.15190175 
   19900   -952.40383     42.12965   -910.27418    1508.9313    -9619.995    2.1644766    4.8508149   0.16013456 
   20000   -954.25836    41.067232   -913.19113    1470.8793    -4897.494    2.1839198    4.1637351   0.16097521 
   20100   -948.91425    42.489275   -906.42498    1521.8117    9635.5169     2.206612    5.5311319   0.16548299 
   20200   -952.61139    42.621008   -909.99039    1526.5299    4546.7688    2.2029501    4.7729896   0.14836866 
   20300   -952.88364    37.412402   -915.47124    1339.9766   -2999.9281    2.1853805    5.4824648   0.13984669 
   20400   -948.48472    40.914897   -907.56982    1465.4232   -5753.3166    2.1692241    4.7018407   0.16819292 
   20500   -950.32794    41.655313   -908.67262    1491.9423      2418.24    2.1924496    4.7926874   0.15145426 
   20600   -953.58121    39.672743   -913.90847    1420.9338    7437.1177    2.2081202    5.8890554   0.13625119 
   20700   -949.97038    44.534244   -905.43613    1595.0551   -3495.2542    2.1774503     5.403471   0.14365962 
   20800   -950.73986     42.54074   -908.19912     1523.655   -1512.5166    2.1823577    4.9124047   0.14709831 
   20900   -952.33103    40.087813   -912.24321    1435.8001    445.94827     2.192602    5.2661685   0.16763462 
   21000   -948.20667     43.40337    -904.8033    1554.5513    1581.9053    2.1868532    4.7883426   0.17311319 
   21100   -951.87133    45.086573   -906.78476    1614.8375   -1299.0476    2.1898791      4.86459   0.16380449 
   21200   -952.66404    41.041369   -911.62267     1469.953   -2353.2131    2.1882871    4.9143525   0.14786514 
   21300   -949.84384    43.732242    -906.1116    1566.3303   -1166.8852    2.1795906    5.3806759   0.16120337 
   21400   -951.63315    46.341801   -905.29135    1659.7952    335.79336    2.1886619    5.6430761   0.16939889 
   21500   -952.87209    41.300715   -911.57137    1479.2418    3355.9139    2.2012721    4.7178557    0.1638754 
   21600   -951.43923    44.034348   -907.40488    1577.1507   -1402.2186    2.1862926    4.2132313   0.15341708 
   21700   -944.28841    38.800665   -905.48774    1389.6991   -3648.6532    2.1660457    4.7531515   0.15022834 
   21800   -952.59738    38.779857   -913.81753    1388.9538    3369.5927    2.1997201    5.1913754   0.15653583 
   21900   -951.61503    43.712816   -907.90222    1565.6346    9865.0085    2.2149273    6.3497592   0.15754188 
   22000   -948.97402    41.490057   -907.48397    1486.0234    1249.6625    2.1893348    7.1942612   0.16555661 
   22100   -952.97952    37.542284   -915.43723    1344.6285   -8271.3286    2.1740878    5.0179758   0.16217025 
   22200   -950.16961    40.392337   -909.77727     1446.707     -4400.46    2.1764718    5.2608921   0.15844741 
   22300   -949.76356    43.502696   -906.26087    1558.1088    9122.9708    2.2063553    5.2127995   0.15561677 
   22400   -954.79419    41.921368   -912.87282    1501.4714    7279.4336    2.2139448      3.92063   0.15090159 
   22500   -951.76122    41.004632   -910.75659    1468.6372   -5716.1743     2.175458    4.8801223   0.16567874 
   22600    -947.9503    41.329023   -906.62128    1480.2557   -7568.6189     2.166514    5.4698815   0.16683697 
   22700   -953.36277    42.591739   -910.77103    1525.4816    926.67946    2.1956287    5.5115948   0.14831754 
   22800   -951.71917    39.542277   -912.17689     1416.261    7126.3819    2.2111359    5.8337482   0.15012473 
   22900   -946.82177    43.149221   -903.67255    1545.4486   -2278.2858    2.1712276    6.1200729   0.15963679 
   23000   -950.12863    40.986337    -909.1423     1467.982   -6155.9154    2.1717398    3.9119508   0.17657218 
   23100   -952.65138    42.507958   -910.14343    1522.4809   -1361.0027    2.1866553    12.812852   0.17596003 
   23200   -943.26199     41.98486   -901.27713    1503.7454    7852.5716    2.1851742    11.669371   0.19162574 
   23300   -950.55562     42.49258   -908.06304    1521.9301    1635.7693    2.1918093    7.2879705   0.17284169 
   23400   -952.74201    42.643649   -910.09837    1527.3409   -7989.9204    2.1690554     11.83795    0.1737999 
   23500   -947.34343    44.681456   -902.66198    1600.3277   -9911.1036    2.1515853     10.49769   0.18235627 
   23600   -949.10858    41.145487   -907.96309    1473.6821    16612.358    2.2198536    11.501177     0.188535 
   23700   -950.82315    41.429176   -909.39397    1483.8428      14969.8     2.224803     9.908383   0.19400959 
   23800   -949.64672    41.585169   -908.06155      1489.43   -10270.131    2.1573663    11.454334   0.18189506 
   23900   -947.30095    42.025726   -905.27522    1505.2091   -14020.999    2.1450628    11.607695   0.19671218 
   24000   -953.98993    39.478985   -914.51094    1413.9941      6034.06    2.2088196    8.5668292   0.18129922 
   24100   -955.00928    46.205284   -908.80399    1654.9057    5255.0374    2.2085173    10.840054   0.16942141 
   24200    -947.2461     41.26956   -905.97653     1478.126    1279.9452    2.1831588     7.807427   0.16865445 
   24300   -954.29596    42.570996   -911.72497    1524.7387   -7138.1863    2.1743163    8.9122486   0.17891048 
   24400   -950.78926    38.560184   -912.22907     1381.086   -714.21759    2.1846841    11.810643    0.1876343 
   24500   -948.44652    42.735718    -905.7108    1530.6384    4710.8003    2.1953152    9.4582046   0.18967664 
   24600   -951.67197    42.250698   -909.42127    1513.2668    2775.6237    2.1981745    10.034204   0.17768487 
   24700     -955.509    41.546093    -913.9629    1488.0304   -4942.7328    2.1867347    8.7250875    0.1733522 
   24800   -946.47897    40.551858   -905.92711    1452.4205   -5933.7973     2.159991    8.2754171   0.18238515 
   24900     -950.801    43.357461   -907.44354     1552.907    2553.1182    2.1898337    11.134437   0.18038255 
   25000   -955.32886    44.054194   -911.27467    1577.8615    8600.7339    2.2129508    11.073215   0.17237315 
   25100   -948.61116    45.304457    -903.3067    1622.6414    822.24771    2.1777246    12.714994   0.19129812 
   25200   -949.29911    44.095474   -905.20363      1579.34   -9105.5638    2.1579305    8.9493121   0.17823671 
   25300   -953.17961    43.099047   -910.08056    1543.6516   -4485.0813     2.179085    10.628891   0.17574633 
   25400   -956.42943    48.612123    -907.8173    1741.1099    8739.6084    2.2172825    11.160929   0.16828351 
   25500   -946.49532    46.379945   -900.11537    1661.1614     6123.229    2.1940969     13.17949   0.17474645 
   25600   -950.43589    42.567558   -907.86833    1524.6155    -12021.44     2.158784    10.072805   0.17100715 
   25700   -950.16501    41.091053   -909.07396    1471.7325   -11649.341    2.1564249     13.78989   0.17083239 
   25800   -953.91792    48.179325   -905.73859    1725.6087    5870.2279    2.2050932    9.3531225   0.16716283 
   25900   -947.52642    50.155694   -897.37073    1796.3951    8661.3325    2.1963207     10.52365    0.2019502 
   26000   -947.78803    41.479988   -906.30804    1485.6627    -118.7599     2.181378    11.640806   0.18909003 
   26100   -950.19024    42.429368   -907.76087    1519.6661   -5808.5193    2.1723672    13.864566   0.18820642 
   26200   -950.66127    41.578887   -909.08239    1489.2049    106.24329    2.1877468    11.323172   0.17969165 
   26300   -958.36771    41.365414    -917.0023    1481.5591    2678.4213    2.2128039    11.512066   0.16390666 
   26400   -952.43331    42.948394   -909.48491    1538.2557   -1258.3375     2.189673    11.581654   0.19200238 
   26500   -950.69775    43.240024   -907.45773    1548.7009   -4332.5466    2.1789671    13.056267    0.1884402 
   26600   -951.31665    42.213523   -909.10313    1511.9353   -1226.8856    2.1883397    11.425338   0.19361442 
   26700   -958.00573    42.336457   -915.66927    1516.3383    1660.3082    2.2069515    10.352674   0.17245688 
   26800   -949.17561    40.551966   -908.62364    1452.4244    978.98005    2.1869084      12.6435   0.20065426 
   26900   -950.87614    43.503837    -907.3723    1558.1497   -3268.1565    2.1782757    18.543738   0.18293339 
   27000   -949.57212    40.867187   -908.70493    1463.7144   -716.71353    2.1803003     12.61035   0.19040055 
   27100    -955.5197    41.322011   -914.19769    1480.0046   -50.902098    2.2004441    10.492088   0.17258443 
   27200   -952.29602    41.637297   -910.65872     1491.297    4958.3002    2.2086382    10.241495   0.18786211 
   27300   -950.68609      44.0624   -906.62369    1578.1554    219.87712    2.1861544    9.8058275   0.18648356 
   27400   -949.49514     39.97639   -909.51875    1431.8093   -9744.7416    2.1645591    12.304216   0.20498797 
   27500   -946.47424    36.591939    -909.8823    1310.5906   -826.36903      2.17973    11.901197   0.19803864 
