   25600   -938.88925    51.662693   -887.22656    1850.3703   -625.75651    2.1527612    98.965829     0.154365 
   25700   -942.30241    51.209013   -891.09339    1834.1211    2779.4106    2.1690336    100.11603   0.14920668 
   25800   -945.03036    49.001389   -896.02897    1755.0521   -177.55285    2.1708467    100.19567   0.14538154 
   25900   -933.23016    48.133838   -885.09632    1723.9795   -2414.9886    2.1457906    103.56542   0.18040722 
   26000   -940.73484    52.512684   -888.22215    1880.8139    3915.7979    2.1742919    108.35239   0.15869278 
   26100    -945.4397    52.036633   -893.40306    1863.7635   -4088.6991    2.1629728    103.18138    0.1629911 
   26200   -936.14952    50.618157   -885.53136    1812.9588   -1542.4277     2.149319    103.81996   0.16194936 
   26300   -938.22555    52.695825   -885.52972    1887.3733    1879.1264    2.1604018    99.803678   0.17887751 
   26400    -944.2417    51.694905    -892.5468     1851.524    442.83765    2.1666173    104.78979   0.13002729 
   26500   -941.01065    51.626611   -889.38404     1849.078   -2911.5969    2.1555328    103.20053   0.16232495 
   26600   -932.99491    51.192782   -881.80213    1833.5398    1000.9924    2.1489971    102.40354   0.17155454 
   26700   -942.79979     50.47384   -892.32595    1807.7899    7343.6538    2.1853696    94.076887   0.14366872 
   26800   -945.35442     54.17412    -891.1803    1940.3205     -11559.7    2.1418053    96.164758   0.15186191 
   26900   -936.13888    49.826481    -886.3124    1784.6039   -6427.7669    2.1334549    103.44674   0.16946238 
   27000   -944.36641    48.205413   -896.16099    1726.5431    15384.805    2.2086027    95.869506   0.14747201 
   27100   -941.25908    48.040369   -893.21872    1720.6318   -3078.0565    2.1556826    101.73152   0.16973131 
   27200   -941.61366    52.035676   -889.57799    1863.7292   -12525.012    2.1299525    103.91634   0.14691523 
   27300   -940.93121    52.207622   -888.72359    1869.8877    8112.4067    2.1801307    95.352159   0.16106447 
   27400   -944.09747    46.102998   -897.99447    1651.2422    5051.5688    2.1872835    100.66972   0.14875503 
   27500   -936.85494    47.774834    -889.0801    1711.1213   -10878.369    2.1241368     103.2991   0.16783604 
   27600   -941.69825    53.575728   -888.12252    1918.8883    3706.4227    2.1703533    103.27114   0.13436438 
   27700   -940.52968    47.344576    -893.1851     1695.711    7618.8147    2.1833201    98.418625   0.15100484 
   27800   -936.59496    51.168751   -885.42621    1832.6791   -4775.6516    2.1402029    97.347231    0.1526682 
