LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00101523 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1641.7188   -943.48971            0    -897.6526   -9066.8433    4700.2408 
Loop time of 2.26323 on 1 procs for 3200 steps with 217 atoms

Performance: 366.485 ns/day, 0.065 hours/ns, 1413.907 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1853     | 2.1853     | 2.1853     |   0.0 | 96.56
Neigh   | 0.029037   | 0.029037   | 0.029037   |   0.0 |  1.28
Comm    | 0.014271   | 0.014271   | 0.014271   |   0.0 |  0.63
Output  | 2.5477e-05 | 2.5477e-05 | 2.5477e-05 |   0.0 |  0.00
Modify  | 0.029497   | 0.029497   | 0.029497   |   0.0 |  1.30
Other   |            | 0.005095   |            |       |  0.23

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4131 ave 4131 max 4131 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8262 ave 8262 max 8262 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8262
Ave neighs/atom = 38.0737
Neighbor list builds = 49
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.664 | 9.664 | 9.664 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -943.48971    45.837104    -897.6526    1641.7188   -9066.8433    2.1457003            0 8.0261347e-32 
   11900   -947.33692    46.022901   -901.31401    1648.3734   -5390.6297    2.1680159     0.195217   0.11943261 
   12000   -947.03526    49.761951   -897.27331    1782.2926    2278.5378    2.1787622  0.097033094   0.12857751 
   12100   -944.47474    45.757659   -898.71709    1638.8734    2814.9038    2.1787487     0.283248    0.1348041 
   12200   -953.82669     46.14155   -907.68514     1652.623   -5563.2334    2.1789385  0.079430282   0.11816102 
   12300   -944.00776    44.672143   -899.33562    1599.9942   -2805.4767    2.1667007   0.15258182   0.14150887 
   12400   -942.03263    45.106312   -896.92632    1615.5445    8220.9315    2.1898183   0.11555466   0.12329807 
   12500   -948.62952    48.052688   -900.57683     1721.073   -1723.4948    2.1748056  0.064037315   0.11931797 
   12600   -951.49923    43.465661   -908.03357    1556.7824   -13079.449    2.1566875  0.020849348   0.11786776 
   12700   -948.07389    46.810073   -901.26382    1676.5671    1781.2603    2.1846158   0.14406271   0.12006903 
   12800   -945.85537    49.488177    -896.3672     1772.487    18967.502    2.2223934  0.045187739   0.12381561 
   12900   -943.04184    43.992642    -899.0492    1575.6569   -9249.0251    2.1479986  0.050053102    0.1423688 
   13000   -941.79645    48.374408   -893.42204    1732.5959   -9351.9319    2.1378992  0.095166642   0.12014291 
   13100    -939.6684    52.040316   -887.62808    1863.8954    7817.8258    2.1768786  0.084683851   0.13364127 
   13200   -947.13147    50.062085   -897.06939    1793.0423     4489.916    2.1891778   0.14411233   0.12361277 
   13300   -945.00673     46.25751   -898.74922    1656.7763   -5900.2376    2.1584357  0.096254657   0.11814373 
   13400   -943.61268    47.401242   -896.21144    1697.7406   -3200.6945    2.1623118   0.23441482   0.11778025 
   13500   -942.43133     55.34137   -887.08996    1982.1272    1361.6875     2.166842  0.024821102    0.1189054 
   13600    -942.2078    45.456693   -896.75111    1628.0939    7154.7391    2.1806211   0.14443768   0.12289944 
   13700   -945.72149    46.619504   -899.10199    1669.7416   -6168.1924    2.1558224   0.02092776   0.10739436 
   13800   -945.27198    48.929645   -896.34234    1752.4824   -3532.9003    2.1615113   0.36759735     0.119387 
   13900   -937.58418    50.698893   -886.88529    1815.8505    8095.0998    2.1682782   0.21275655   0.11937868 
   14000   -943.15498    46.387586   -896.76739    1661.4351    6036.6917     2.181434  0.038762489   0.12794761 
   14100   -945.92264     46.75215   -899.17049    1674.4925   -9474.2103    2.1516861   0.36320301    0.1351845 
   14200   -938.76953    43.200718   -895.56881     1547.293    127.67359    2.1623954  0.016851453   0.12533415 
   14300   -933.45705    46.767936   -886.68912    1675.0578    15047.475      2.18737   0.36728973   0.13731778 
   14400   -944.92916    48.086848   -896.84231    1722.2965    2411.7455    2.1786498  0.068998468   0.10732209 
