LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000986441 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1550   -951.04357            0   -907.76727   -115560.29    5330.9442 
    3200    1527.6675   -948.63483            0   -905.98206   -5738.2516    4651.7986 
Loop time of 2.3096 on 1 procs for 3200 steps with 217 atoms

Performance: 359.127 ns/day, 0.067 hours/ns, 1385.522 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2305     | 2.2305     | 2.2305     |   0.0 | 96.58
Neigh   | 0.030449   | 0.030449   | 0.030449   |   0.0 |  1.32
Comm    | 0.014389   | 0.014389   | 0.014389   |   0.0 |  0.62
Output  | 2.5111e-05 | 2.5111e-05 | 2.5111e-05 |   0.0 |  0.00
Modify  | 0.029373   | 0.029373   | 0.029373   |   0.0 |  1.27
Other   |            | 0.004835   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4185 ave 4185 max 4185 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8370 ave 8370 max 8370 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8370
Ave neighs/atom = 38.5714
Neighbor list builds = 51
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.663 | 9.663 | 9.663 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -948.63483     42.65277   -905.98206    1527.6675   -5738.2516    2.1680448            0 1.0009129e-31 
   15400   -948.50832    40.284022    -908.2243    1442.8276   -2452.0186      2.17626   0.15265757   0.11679086 
   15500   -949.84326    44.006242   -905.83702     1576.144    9417.5945    2.2098228   0.09007665   0.13074175 
   15600   -948.81872    44.231442   -904.58728    1584.2099    4572.9206    2.1924075   0.18061887   0.11870775 
   15700   -941.21738    45.415382     -895.802    1626.6143   -8167.0769    2.1424004  0.069202269   0.12671635 
   15800   -945.93329    43.244882   -902.68841    1548.8749   -663.65499    2.1686161  0.046597926   0.11661288 
   15900    -950.6794    45.403187   -905.27622    1626.1775    5572.7308    2.1971264   0.14270855    0.1309891 
   16000   -947.86091    41.857909     -906.003    1499.1985    4161.3641    2.1904707  0.093856716   0.11969027 
   16100   -950.96327    44.101718   -906.86155    1579.5636   -8007.8876     2.167807   0.11746445   0.11797896 
   16200   -953.85181    37.710003   -916.14181    1350.6356    456.62184    2.1968024  0.068329929   0.11139945 
   16300   -952.14097    42.687823   -909.45315     1528.923    3720.7436    2.1986616   0.25028054   0.10870052 
   16400   -950.32093    44.553313   -905.76762    1595.7381    933.91652     2.188374   0.60783433   0.12132463 
   16500   -946.52423    41.269421   -905.25481     1478.121   -4855.8077    2.1670141   0.31840312   0.12867303 
   16600   -953.02731    39.154049   -913.87326     1402.356   -3316.5684    2.1838782  0.061723655   0.10695197 
   16700   -949.55544    40.320781   -909.23466    1444.1442    8427.7322    2.2046018  0.066243888   0.11682385 
   16800   -948.63968    44.407516   -904.23216    1590.5162    8179.4441     2.200617   0.12140122   0.11529264 
   16900    -951.3957    44.078042   -907.31766    1578.7156   -9686.8996    2.1609611  0.070458231   0.11913625 
   17000   -953.81466    39.467343   -914.34732    1413.5771   -9069.6288    2.1722303  0.067567031   0.11852638 
   17100   -951.28407    44.664322   -906.61975     1599.714    6265.2213    2.2034532  0.033841187   0.10070933 
   17200   -950.30224    45.754285   -904.54796    1638.7526     9412.232    2.2096188   0.24483944    0.1182194 
   17300    -949.2323    40.662021   -908.57028    1456.3661   -4478.4143     2.172184   0.12187494   0.10717614 
   17400   -953.58668    40.838978   -912.74771    1462.7041   -10272.834    2.1698021  0.052328735   0.11622458 
   17500   -949.04537    44.196267   -904.84911      1582.95    4597.2354    2.1952403   0.18110573   0.11859665 
   17600   -954.33067    50.044446   -904.28623    1792.4106    7554.7921    2.2077213  0.018924028    0.1104178 
   17700   -953.16574    46.574559   -906.59118    1668.1318   -6169.1466    2.1749251   0.23822846   0.10302255 
   17800   -951.12821    43.893945   -907.23426    1572.1219   -8143.2428    2.1657014   0.31293924   0.10078246 
   17900   -954.88519    38.015643   -916.86955    1361.5825    2195.9596    2.2051913    0.1401024   0.12420923 
   18000   -953.21201    42.091319   -911.12069    1507.5584    3023.2512    2.2006626   0.10761294   0.11132426 
   18100   -949.49485    42.638302   -906.85655    1527.1494    873.60846    2.1863321   0.02606044   0.10749141 
   18200   -948.08625    43.217305   -904.86895    1547.8871   -1413.1977    2.1766471   0.16532134   0.10690524 
   18300   -950.36177    44.595363   -905.76641    1597.2442   -831.74282    2.1795247   0.10710431  0.094163024 
   18400   -951.88055    39.167992   -912.71256    1402.8554    7440.9723    2.2067705   0.15218244   0.11856249 
   18500   -950.93803    44.716764   -906.22127    1601.5923    1008.6182    2.1896911   0.25407313   0.11714775 
   18600   -951.34171    46.094761   -905.24695    1650.9472    -8912.953    2.1636733  0.062901064   0.11195964 
   18700   -951.64428    41.938366   -909.70592    1502.0802   -6497.3701    2.1737467   0.23660667   0.10303612 
   18800   -953.16803    42.137929   -911.03011    1509.2278    10735.282    2.2210863  0.033326558   0.10187639 
   18900   -947.47993    43.937448   -903.54248    1573.6801    10665.067    2.2037687     0.124002   0.12992086 
   19000   -948.94559    42.495543   -906.45005    1522.0363   -13944.418    2.1489214  0.062405537   0.11228293 
   19100   -951.13244    41.490667   -909.64178    1486.0452   -10117.165    2.1642108  0.092282694   0.11106639 
   19200   -956.23659    41.970535   -914.26606    1503.2324    11266.953    2.2273999   0.18338074   0.11161345 
   19300   -949.41807    44.521925   -904.89615    1594.6139     3866.564    2.1904684   0.14549286  0.090454249 
   19400   -947.78498     42.04263   -905.74235    1505.8145     -6078.09    2.1631286   0.21024292   0.10978573 
