LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000976145 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1500   -951.04357            0   -909.16328   -115839.99    5330.9442 
    3200    1540.4495   -949.20242            0   -906.19277    4909.7997    4589.8244 
Loop time of 2.2792 on 1 procs for 3200 steps with 217 atoms

Performance: 363.917 ns/day, 0.066 hours/ns, 1404.000 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2305     | 2.2305     | 2.2305     |   0.0 | 97.86
Neigh   | 0.0011485  | 0.0011485  | 0.0011485  |   0.0 |  0.05
Comm    | 0.013408   | 0.013408   | 0.013408   |   0.0 |  0.59
Output  | 2.6449e-05 | 2.6449e-05 | 2.6449e-05 |   0.0 |  0.00
Modify  | 0.02927    | 0.02927    | 0.02927    |   0.0 |  1.28
Other   |            | 0.004868   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4154 ave 4154 max 4154 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8308 ave 8308 max 8308 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8308
Ave neighs/atom = 38.2857
Neighbor list builds = 2
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.656 | 9.656 | 9.656 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -949.20242    43.009644   -906.19277    1540.4495    4909.7997    2.1973189            0 4.5751536e-32 
   11900   -951.34969    41.160226   -910.18947      1474.21    3886.5617    2.2021999  0.049279027    0.1183251 
   12000    -951.3413    43.829176   -907.51212    1569.8021    6573.3917    2.2035099   0.17670244   0.12017497 
   12100   -953.86119    41.539698   -912.32149    1487.8013    -6199.416    2.1828299   0.29268985   0.11033765 
   12200   -953.58274    38.241779   -915.34096    1369.6819   -7645.7678    2.1780129   0.20835181   0.11624905 
   12300    -952.3926    44.003383   -908.38922    1576.0416    207.46974    2.1941544   0.10819365    0.1157758 
   12400   -952.13958    43.677534   -908.46205    1564.3709    7968.3291     2.209977  0.041161897   0.11924295 
   12500   -955.12717     40.49955   -914.62762     1450.547    -2618.909    2.1941448   0.14769859   0.10428853 
   12600   -952.08935    40.123098   -911.96625    1437.0639   -9233.7113    2.1721362   0.14468658   0.11940295 
   12700   -950.02827    42.217501   -907.81077    1512.0778   -572.66977    2.1878807   0.05648985   0.12950257 
   12800   -953.18633    44.084568   -909.10176    1578.9493    6148.9152    2.2098057  0.064104215   0.13223505 
   12900   -951.93345    38.352227   -913.58122    1373.6377    2362.7826    2.2027535   0.07494652   0.13462277 
   13000   -947.51749    41.347265   -906.17022    1480.9091   -6257.2898    2.1650404  0.085643021   0.12053972 
   13100   -950.38511    43.928807    -906.4563    1573.3706   -2523.7815    2.1782276   0.21619217   0.12195126 
   13200   -949.91891    40.755885   -909.16303     1459.728    10584.506    2.2123776   0.11852922   0.12132627 
   13300   -954.47237    42.973295   -911.49908    1539.1476    4617.5795    2.2070556   0.16971929   0.11286895 
   13400   -948.70744    47.171261   -901.53617    1689.5035   -14481.832    2.1397372   0.35465131   0.11903445 
   13500   -948.64023    40.460677   -908.17956    1449.1547   -5368.4523    2.1695486   0.27865961   0.11321156 
   13600   -951.97461    42.509734   -909.46487    1522.5445    12037.266    2.2201858   0.46758824   0.10882592 
   13700   -954.19746    45.699273   -908.49818    1636.7822    5990.2572    2.2091961   0.19417404   0.11280156 
   13800   -945.08446    43.647474   -901.43699    1563.2942   -8242.9235    2.1525696   0.23338996   0.13482513 
   13900   -955.06788    44.189333   -910.87854    1582.7017   -7733.7925    2.1771487   0.15255385   0.12160062 
   14000   -953.71168    44.088109   -909.62357    1579.0762    3251.1811     2.199352   0.22086547   0.12564651 
   14100   -949.10465    43.411639   -905.69301    1554.8475    5418.2099    2.1955963  0.087137519   0.12047547 
   14200   -945.29232    42.213355   -903.07896    1511.9293   -2274.8269    2.1708508   0.81879852    0.1323605 
   14300   -950.98427    39.166203   -911.81807    1402.7913    5.6709619    2.1886638  0.088524311   0.11566587 
   14400   -948.66661    39.312342   -909.35427    1408.0255    5602.7911    2.1971246   0.17456865   0.10211354 
