LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00106072 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1550   -951.04357            0   -907.76727   -115560.29    5330.9442 
    3200     1583.653   -950.22865            0   -906.01275    1628.5246    4608.1245 
Loop time of 2.27896 on 1 procs for 3200 steps with 217 atoms

Performance: 363.956 ns/day, 0.066 hours/ns, 1404.152 timesteps/s
99.9% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2129     | 2.2129     | 2.2129     |   0.0 | 97.10
Neigh   | 0.017799   | 0.017799   | 0.017799   |   0.0 |  0.78
Comm    | 0.013894   | 0.013894   | 0.013894   |   0.0 |  0.61
Output  | 2.5456e-05 | 2.5456e-05 | 2.5456e-05 |   0.0 |  0.00
Modify  | 0.029386   | 0.029386   | 0.029386   |   0.0 |  1.29
Other   |            | 0.004968   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    953 ave 953 max 953 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4187 ave 4187 max 4187 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8374 ave 8374 max 8374 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8374
Ave neighs/atom = 38.5899
Neighbor list builds = 30
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.661 | 9.661 | 9.661 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -950.22865    44.215893   -906.01275     1583.653    1628.5246    2.1885928            0 7.6184795e-32 
   13400   -946.36273    43.391403   -902.97133    1554.1227   -452.85024    2.1757549    15.125878   0.10706677 
   13500   -952.96539    40.575467   -912.38993    1453.2661     669.4683    2.1921258    14.389237   0.10380962 
   13600   -951.80631    44.123703    -907.6826     1580.351   -3131.3565    2.1783558    13.062143   0.10633869 
   13700   -946.78645    42.821165   -903.96528    1533.6988    318.52815    2.1792575      13.9321   0.11392376 
   13800   -951.27968    42.296761   -908.98292    1514.9166    3028.6754    2.1967597    14.612709   0.10405557 
   13900   -951.51654    40.500389   -911.01615    1450.5771    1408.3946    2.1912935    15.401981   0.10339155 
   14000    -945.5737    40.891031   -904.68267    1464.5684   -1360.8375    2.1751371    14.144832   0.11502126 
   14100    -947.8723    41.700572   -906.17173    1493.5633    742.52168    2.1805928    16.297692   0.10687091 
   14200   -955.83804    42.615956   -913.22209     1526.349    3342.8266    2.2057388    13.920556   0.11072888 
   14300   -948.36559    43.693542   -904.67205    1564.9442    -1737.648    2.1801991    16.324141     0.121056 
   14400   -951.52999    46.229003   -905.30098    1655.7552   -5167.1653    2.1732509    13.374596  0.098733497 
   14500   -953.41022    44.047112   -909.36311    1577.6078   -2093.5728    2.1859492    15.798894   0.10353767 
   14600    -952.0785    40.058511   -912.01999    1434.7506    5514.4003    2.2046123    13.855587   0.11616047 
   14700   -944.96283    42.097009   -902.86582    1507.7622   -445.21998    2.1704806    15.094567   0.11349536 
   14800   -950.49288    44.348254   -906.14462    1588.3936   -7989.2557    2.1652873    16.397615   0.10199706 
   14900   -951.42098    43.203688    -908.2173    1547.3994    2689.5012    2.1907724    16.142091  0.097272811 
   15000   -953.51479    45.468318   -908.04647    1628.5103     8062.702    2.2086948    13.484531  0.086365978 
   15100   -944.39895     44.16278   -900.23617    1581.7506   -6401.2232    2.1531798    13.820288    0.1135426 
   15200   -948.12476     42.30127   -905.82349    1515.0781   -10887.875    2.1531755    14.394835   0.10803146 
   15300   -947.27514    40.564813   -906.71033    1452.8845    7768.6849    2.1983788    16.369212    0.1009833 
   15400   -949.64588    41.213933   -908.43194    1476.1336    10572.857    2.2107599     13.51769   0.12021334 
   15500   -947.12813    49.071436    -898.0567    1757.5609   -8838.1821    2.1506456    13.933122   0.11331284 
   15600   -948.17198    44.325346   -903.84663    1587.5731   -4991.0272    2.1700519    12.710582   0.11182864 
   15700   -950.92965    44.284728   -906.64492    1586.1183    3042.1609    2.1917723     13.53066   0.11641228 
   15800   -954.00548    46.172652   -907.83283    1653.7369    998.47683    2.1930846    16.044949   0.10017865 
   15900    -943.2329    45.262363   -897.97053    1621.1337   -4084.8487    2.1572645    15.767382   0.11939028 
   16000   -949.49459    44.239082   -905.25551    1584.4835   -1851.2389     2.179759     16.45909   0.10945114 
   16100   -952.46379     45.34544   -907.11835    1624.1092    1409.2142     2.191004    13.107106   0.10132762 
   16200   -951.94271    48.795947   -903.14676    1747.6939   -1878.8764    2.1823214    14.834263   0.10810362 
   16300   -947.32749    47.548774   -899.77871    1703.0247   -4831.3701    2.1625187    13.971326   0.11183957 
   16400   -948.72596     40.94031   -907.78565    1466.3334    267.02766    2.1819628    14.552816   0.11553513 
   16500   -949.32311    43.857855   -905.46526    1570.8293    5344.5354    2.1960556    13.282287   0.11688423 
   16600   -944.97305    45.536383   -899.43667    1630.9481    4720.6156    2.1813075    12.939624   0.12884232 
   16700     -947.018    42.509404    -904.5086    1522.5327   -8013.9024    2.1574938    15.747367   0.11537395 
   16800   -949.70373    41.822146   -907.88159    1497.9176   -8470.2621    2.1611304    15.332926   0.11558224 
   16900   -953.07457    48.996404   -904.07816    1754.8735    12476.792    2.2188468    13.669313   0.11602285 
   17000    -947.6956    41.468405    -906.2272    1485.2479    12515.076    2.2111867    15.930804   0.10462779 
   17100   -951.92509    38.077086   -913.84801    1363.7831   -10551.865     2.162635    13.684432   0.11165703 
   17200    -945.7935    37.707631   -908.08587    1350.5506   -6272.4899    2.1621922    13.970652   0.10985528 
   17300   -950.44848    46.168765   -904.27972    1653.5977    6290.5815    2.1986691     12.97456   0.11192502 
   17400   -952.59952    44.290516     -908.309    1586.3257    4812.2191    2.1981819    13.449777   0.10376937 
   17500   -953.49588     40.06378    -913.4321    1434.9393   -4024.9061    2.1852345    14.994566   0.12187046 
   17600   -950.75119    45.260525   -905.49066    1621.0679   -7348.0233    2.1682223    15.710535   0.11082444 
   17700   -952.10281    46.584156   -905.51866    1668.4755     2178.497    2.1888383    15.994258   0.10323338 
   17800   -952.43942    40.944847   -911.49458    1466.4959    4897.8536    2.2043019    13.243244   0.12596384 
   17900    -948.0265    39.671235   -908.35526    1420.8798   -2236.5778    2.1803112    15.758007   0.11207606 
   18000   -948.67255    44.371449    -904.3011    1589.2244   -4248.8809    2.1672505    16.509989   0.10482892 
   18100   -946.82235    40.472309   -906.35004    1449.5713    2791.3986    2.1844387    17.310641    0.1066424 
   18200   -952.05545    43.199731   -908.85572    1547.2577    6318.0745    2.2028408    13.564137   0.11008157 
   18300   -947.34973    47.757894   -899.59184    1710.5146   -226.21427    2.1748314    13.466525   0.11255753 
   18400   -945.91703     43.41875   -902.49828    1555.1022   -2600.1123    2.1654091    13.555591   0.10645173 
   18500    -948.0976    41.463698    -906.6339    1485.0793   -1328.7436    2.1809202    14.192325   0.11674299 
   18600   -952.47497    45.134145   -907.34083    1616.5414    5468.9305    2.2011963    15.010889   0.11464196 
   18700   -946.79044    49.213595   -897.57685    1762.6525   -746.35601    2.1682359    13.748294   0.11037757 
   18800   -948.21485     43.54728   -904.66757    1559.7056   -4291.1001    2.1682525    16.635712    0.1351102 
   18900   -951.21761    43.727594   -907.49001    1566.1638    -671.7735    2.1820104    14.969154    0.1195595 
   19000   -948.98321      45.3015   -903.68171    1622.5354    6391.5064    2.1946375    14.690125   0.10494588 
   19100   -947.18636      47.9913   -899.19506    1718.8743   -3149.6397    2.1709464    13.897271    0.1398299 
   19200    -948.2662     40.48214   -907.78406    1449.9234   -4514.7061    2.1715963     13.94804   0.11383637 
   19300   -953.71232    47.164938   -906.54738     1689.277   -3063.2061    2.1834312    14.414719   0.12358474 
   19400   -949.06908     48.83387   -900.23521    1749.0521    5802.7171    2.1948649    13.119646   0.12908197 
   19500   -949.53841    44.909036   -904.62937    1608.4788   -2805.0177    2.1743057    16.327534   0.11357633 
   19600   -951.86229    43.422652   -908.43964    1555.2419   -10108.668    2.1604371    14.236835    0.1189579 
