LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00111327 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1596.2128    -942.6951            0   -898.12853   -12160.171    4705.9808 
Loop time of 2.29944 on 1 procs for 3200 steps with 217 atoms

Performance: 360.714 ns/day, 0.067 hours/ns, 1391.642 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1963     | 2.1963     | 2.1963     |   0.0 | 95.52
Neigh   | 0.053659   | 0.053659   | 0.053659   |   0.0 |  2.33
Comm    | 0.015019   | 0.015019   | 0.015019   |   0.0 |  0.65
Output  | 2.3644e-05 | 2.3644e-05 | 2.3644e-05 |   0.0 |  0.00
Modify  | 0.029427   | 0.029427   | 0.029427   |   0.0 |  1.28
Other   |            | 0.004984   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4108 ave 4108 max 4108 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8216 ave 8216 max 8216 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8216
Ave neighs/atom = 37.8618
Neighbor list builds = 91
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.661 | 9.661 | 9.661 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -942.6951    44.566567   -898.12853    1596.2128   -12160.171    2.1430831            0 6.3056373e-32 
   11900   -944.98238    47.777847   -897.20454    1711.2292      268.033    2.1703122  0.079263616   0.14024273 
   12000   -945.37034    51.410957   -893.95938     1841.354   -10754.849    2.1406858    0.3360054   0.13017056 
   12100   -947.81736    47.081515   -900.73585    1686.2891    662.48911    2.1829004  0.087104189   0.14862338 
   12200   -944.66497    45.905786   -898.75919    1644.1788    12467.587    2.2001984   0.33873242   0.14591857 
   12300    -942.2022    50.217437   -891.98476    1798.6065   -7278.8633     2.144119   0.10838764   0.13218583 
   12400   -947.77786    46.774084   -901.00378     1675.278   -11803.393    2.1493396  0.072325504   0.12606726 
   12500   -945.08783    45.687524   -899.40031    1636.3614    11007.544    2.2011053   0.03911677   0.15168088 
   12600   -942.39857    49.159367    -893.2392    1760.7102    9112.2783    2.1922841   0.18325897    0.1394354 
   12700   -944.79692     46.98893   -897.80799    1682.9731   -18220.755    2.1291195   0.47619061   0.15446884 
   12800   -947.15852    44.013211   -903.14531    1576.3936   -7340.4292    2.1629856  0.042938432   0.13796097 
   12900   -945.09279    50.450238   -894.64256    1806.9446    12018.902      2.20622   0.32185244   0.16018533 
   13000   -947.93741    50.402715   -897.53469    1805.2425   -3010.9834    2.1717346    0.3182548   0.14217581 
   13100   -948.30844    44.112752   -904.19569    1579.9588   -7889.8856    2.1641523  0.091022542   0.12945305 
   13200   -947.24302    50.370999   -896.87202    1804.1065   -596.10995    2.1723405   0.31772743   0.14014611 
   13300   -946.12309    50.831685    -895.2914    1820.6066    4387.2296    2.1821579  0.046208018   0.14495056 
   13400   -947.11913    45.257253   -901.86187    1620.9507   -1539.7572    2.1680967   0.14235394   0.12897646 
   13500   -944.36869    48.885459   -895.48323    1750.8999   -2469.0224    2.1588789   0.23593744   0.14879927 
   13600   -943.39251    50.028909    -893.3636    1791.8541    5100.3362    2.1786569   0.24257764   0.14487238 
   13700   -948.28371    47.783807    -900.4999    1711.4427    207.75046    2.1761854  0.076371087   0.14149696 
   13800    -941.4952    44.089787   -897.40541    1579.1363   -4975.8697    2.1533747   0.12780987   0.15462692 
   13900    -938.3927    46.886667   -891.50603    1679.3104    -585.9146    2.1580296   0.34197859   0.15052579 
   14000   -945.55774    44.879997   -900.67774    1607.4387    8985.2357    2.1984301   0.21041306   0.13790419 
   14100   -944.68658    46.422519   -898.26406    1662.6863   -862.61892     2.166532  0.051872121   0.13921567 
   14200   -940.86259     46.67916   -894.18343    1671.8782   -8547.7653    2.1404094  0.076597597   0.15037662 
   14300   -950.40333    46.324811   -904.07852    1659.1867    5287.5752    2.1977315   0.23152778   0.14328018 
   14400   -948.86297    49.884138   -898.97883    1786.6689    4796.6554    2.1910463  0.015734408    0.1522967 
