LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00101742 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1343.9124   -957.62046            0   -920.09817    12104.575    4518.4804 
Loop time of 2.31645 on 1 procs for 3200 steps with 217 atoms

Performance: 358.066 ns/day, 0.067 hours/ns, 1381.426 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2637     | 2.2637     | 2.2637     |   0.0 | 97.72
Neigh   | 0.004695   | 0.004695   | 0.004695   |   0.0 |  0.20
Comm    | 0.013521   | 0.013521   | 0.013521   |   0.0 |  0.58
Output  | 2.602e-05  | 2.602e-05  | 2.602e-05  |   0.0 |  0.00
Modify  | 0.029697   | 0.029697   | 0.029697   |   0.0 |  1.28
Other   |            | 0.004831   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4187 ave 4187 max 4187 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8374 ave 8374 max 8374 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8374
Ave neighs/atom = 38.5899
Neighbor list builds = 8
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.667 | 9.667 | 9.667 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -957.62046    37.522291   -920.09817    1343.9124    12104.575    2.2320132            0 5.4785574e-32 
   12000   -953.09098    39.750433   -913.34055    1423.7164    779.37684    2.1963542   0.06407044    0.1038763 
   12100   -956.44732    37.552938   -918.89438    1345.0101   -509.35269     2.207051  0.084185452   0.10827208 
   12200   -957.52045    40.190079   -917.33037    1439.4629   -357.25806    2.2034354  0.034805998   0.10669125 
   12300   -950.39377    37.891335   -912.50243    1357.1302     553.4478    2.1923256   0.23464051   0.10920865 
   12400   -952.18685    34.881472   -917.30538    1249.3278    -1793.598    2.1969507 0.0068852117   0.12371588 
   12500   -955.57659    38.320419   -917.25617    1372.4984   -347.10824    2.2008085   0.07925418   0.10915293 
   12600   -953.13346    42.517533   -910.61593    1522.8238    1259.9815    2.1967111  0.077988232   0.12389341 
   12700   -954.22615    38.177728   -916.04842    1367.3877    1957.5504    2.2021995  0.015750545   0.11427694 
   12800   -956.47362    39.171326   -917.30229    1402.9748    -3172.527    2.1948776  0.048056722   0.11862743 
   12900   -951.76357    42.097242   -909.66633    1507.7706   -5985.1472    2.1772764  0.081139744   0.13152011 
   13000   -951.17255    34.616188   -916.55636    1239.8263    3465.1606    2.2038241  0.083857321   0.12009304 
   13100   -951.71123    35.224974   -916.48626    1261.6308     6823.743     2.209474  0.051039365    0.1178107 
   13200   -951.67255    41.061189   -910.61136    1470.6629     441.0921    2.1927338  0.058929563   0.11693653 
   13300   -954.38374    37.924286   -916.45945    1358.3104   -5339.5298    2.1862084  0.034693382   0.11358025 
   13400   -954.66761     37.07793   -917.58968     1327.997   -4931.7142    2.1864365  0.014040866   0.12172849 
   13500    -950.1575    37.843646   -912.31385    1355.4221    3491.0561    2.1987914  0.083169974   0.11971624 
   13600   -957.42163    39.938147   -917.48349    1430.4396    5504.6022    2.2190629  0.063983051   0.11357524 
   13700   -956.00234    37.309599   -918.69274    1336.2945    1611.6196    2.2048809  0.079253312    0.1165694 
   13800   -952.11534    38.521286   -913.59405    1379.6928     -6728.84     2.176282 0.0068154183   0.11698465 
   13900    -953.0774    37.623939   -915.45346    1347.5531   -6521.2201    2.1774715    0.1335587   0.11655376 
   14000   -956.96127     36.48312   -920.47815     1306.693    3152.4682    2.2140672  0.007121727   0.11401972 
   14100   -953.36198    40.633958   -912.72802     1455.361    8837.5807    2.2176596   0.11079231   0.11085637 
   14200   -953.46416    38.477564    -914.9866    1378.1268    2861.2671    2.2007268   0.11813065   0.10771065 
   14300   -956.31974    35.875776   -920.44396    1284.9402    -8530.328    2.1790212   0.14394093   0.11265229 
   14400   -952.39745    39.233237   -913.16421    1405.1923   -7391.7745    2.1720555  0.014606864   0.11259975 
   14500   -955.20091    41.800334   -913.40057    1497.1364    6932.4175    2.2129116  0.067117716  0.098545022 
   14600   -956.90674    39.497129   -917.40962    1414.6439    10912.627    2.2294225  0.054293007   0.10130524 
   14700   -952.38185    40.150776   -912.23108    1438.0552     1046.039    2.1925847  0.035752341   0.10771478 
   14800   -954.80568    42.445963   -912.35971    1520.2605   -10259.443     2.166714   0.12566346   0.10076383 
   14900   -955.44995    37.689694   -917.76026    1349.9082   -3866.3095    2.1892169   0.14356686     0.104374 
   15000   -953.44061    39.927829   -913.51279      1430.07    4353.2311     2.205269   0.13606567   0.09940208 
   15100   -953.42684     42.19407   -911.23277    1511.2386    2391.4647    2.1980419   0.14511447  0.086328244 
   15200    -955.9014    37.683341   -918.21806    1349.6806   -111.68005    2.2009141  0.024968424  0.093345627 
   15300   -953.91202     39.56915   -914.34287    1417.2234   -3747.9747    2.1878863 0.0096289985    0.1022467 
   15400   -954.33458    42.584582   -911.74999    1525.2253   -4108.6482    2.1854034  0.040480549    0.1118075 
   15500   -955.80708    36.513987    -919.2931    1307.7986    4155.2628    2.2098257  0.017864715  0.092006596 
   15600   -955.94374     41.39844    -914.5453     1482.742    2260.6896    2.2033718  0.040208957   0.10068278 
   15700    -951.4533    38.360587   -913.09271    1373.9371    121.00151    2.1885614  0.082823466  0.091449957 
   15800   -957.79988    37.053222   -920.74666     1327.112    -3225.099    2.1975318  0.037803217   0.10100232 
   15900   -952.15392    37.205992   -914.94793    1332.5837   -1438.9894     2.191012  0.020486423   0.10847976 
   16000   -953.47155    40.196422   -913.27513    1439.6901    3666.7844      2.20362  0.030428599  0.092570769 
   16100   -956.28704    36.478483   -919.80856     1306.527     5972.925    2.2169901  0.023390286   0.09175645 
   16200   -949.25526    35.023321   -914.23193    1254.4084    1039.8178    2.1896742  0.062567256  0.096578147 
   16300   -952.29796    38.927906   -913.37005    1394.2564   -6311.4488    2.1738365  0.046269476    0.1010578 
   16400   -955.72473    37.372659   -918.35208    1338.5531   -3785.4059    2.1893766   0.20976204  0.091349945 
   16500   -954.44079    38.941061   -915.49973    1394.7276    5542.2705    2.2150457  0.032023911   0.10616344 
   16600   -953.10555    42.183779   -910.92177      1510.87    9305.1494    2.2146579  0.089054397   0.10037646 
   16700   -955.10462    37.980806   -917.12381    1360.3347   -2560.5772      2.19197  0.059254815  0.096852825 
   16800   -955.59235    40.043381   -915.54897    1434.2087   -13690.966     2.164768   0.25878199   0.10116499 
   16900   -951.59759    41.481443   -910.11615    1485.7149   -6236.2961    2.1718215  0.027994138  0.093827577 
   17000   -957.77879    40.645403   -917.13339     1455.771    8231.9677    2.2220769  0.015496432  0.082660745 
