LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00105405 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1652.3113    -944.0942            0   -897.96135   -7226.3961     4690.424 
Loop time of 2.28935 on 1 procs for 3200 steps with 217 atoms

Performance: 362.304 ns/day, 0.066 hours/ns, 1397.778 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1848     | 2.1848     | 2.1848     |   0.0 | 95.43
Neigh   | 0.054595   | 0.054595   | 0.054595   |   0.0 |  2.38
Comm    | 0.015114   | 0.015114   | 0.015114   |   0.0 |  0.66
Output  | 2.5152e-05 | 2.5152e-05 | 2.5152e-05 |   0.0 |  0.00
Modify  | 0.029742   | 0.029742   | 0.029742   |   0.0 |  1.30
Other   |            | 0.005038   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4219 ave 4219 max 4219 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8438 ave 8438 max 8438 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8438
Ave neighs/atom = 38.8848
Neighbor list builds = 92
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.662 | 9.662 | 9.662 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -944.0942    46.132848   -897.96135    1652.3113   -7226.3961    2.1501911            0 4.601546e-32 
   15000   -945.15918    42.677053   -902.48213    1528.5373   -13066.878    2.1392702    1.0624432   0.15299236 
   15100     -942.565    45.322259   -897.24274     1623.279   -2657.0324    2.1632356    1.3423743   0.16769504 
   15200   -943.59039    48.462236   -895.12816    1735.7415    17654.398     2.209219   0.88551355   0.16256244 
   15300   -951.16273    46.183679   -904.97905    1654.1319   -2184.9202     2.175883    1.2484809    0.1554462 
   15400   -942.55087    43.758614   -898.79225    1567.2749   -10103.199    2.1409341   0.65275801   0.15356242 
   15500   -945.61833    50.650822   -894.96751    1814.1288    2064.8199    2.1743483   0.57764591   0.12639228 
   15600   -945.06406    43.748485   -901.31558    1566.9121    7499.6957    2.1900095    1.3141947   0.13256186 
   15700   -945.78604    43.781932   -902.00411      1568.11   -1790.2425    2.1670251    1.1920472   0.11222313 
   15800   -943.56706    49.234314   -894.33275    1763.3946   -6930.6425    2.1481257   0.93662644   0.13041391 
   15900   -945.76793    46.519318   -899.24861    1666.1533    5158.3395    2.1830919    1.0838087   0.14131084 
   16000   -949.05335    48.051991   -901.00136    1721.0481    2932.8809    2.1874485    1.4725924   0.12918522 
   16100    -940.2146    48.410554   -891.80404    1733.8905   -8613.2681    2.1399187    1.4068487   0.17023502 
   16200    -947.0075    47.463012   -899.54449     1699.953   -2001.6762    2.1722334      1.12964   0.15179541 
   16300   -944.07299    44.740527   -899.33246    1602.4434     8683.421    2.1921651    1.2935111   0.15907105 
   16400   -940.24494    47.783889   -892.46105    1711.4456   -126.53407     2.159751   0.78408426   0.15418515 
   16500   -943.30998    46.742811   -896.56717     1674.158   -6324.8717    2.1529463      1.31053   0.12687763 
   16600   -942.62045    42.184903   -900.43554    1510.9103    4634.1601    2.1799643    1.1774726    0.1359102 
   16700   -944.68725    50.187693   -894.49955    1797.5412    11734.823     2.195879     1.364908   0.14393932 
   16800   -945.11331    47.924521   -897.18879    1716.4826   -8300.0569    2.1481441   0.75839169   0.15868823 
   16900   -947.10585    42.683063   -904.42278    1528.7525   -11650.722    2.1519885     1.125948   0.15518545 
   17000   -947.47082    50.394202   -897.07662    1804.9375    14682.607    2.2074714    1.0216066   0.14477089 
   17100   -944.03998    47.716074    -896.3239    1709.0167    6760.6216    2.1866121    0.9309237   0.13778878 
   17200   -947.29145    45.670099   -901.62135    1635.7373   -14110.447    2.1377398    1.8652407   0.14167499 
   17300   -948.27053    45.403534   -902.86699    1626.1899    573.28925    2.1803567   0.83642053   0.14243205 
   17400    -941.1063    46.271609    -894.8347    1657.2812    7244.9299    2.1862938   0.81808059   0.16034397 
   17500   -944.13497    44.970135   -899.16484    1610.6672   -2452.5088    2.1658491   0.96731428   0.15271993 
